path,type,key_guess,energy,brightness
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 1.wav,Perc,E,0.1656,0.9811
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 4.wav,Perc,E,0.5778,0.8055
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 6.wav,Perc,A#,0.7387,0.8553
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 5.wav,Perc,E,0.2266,0.9986
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 8.wav,Perc,D,0.2959,0.5049
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 9.wav,Perc,G#m,0.3079,0.5192
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 2.wav,Perc,A#,0.3131,0.8193
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 7.wav,Perc,G#m,0.357,0.5432
/content/drive/MyDrive/techno dataset/Berlin underground/Rides/Ride 3.wav,Perc,Bm,0.3389,0.9278
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Mid Tom 4.wav,Other,Bm,0.1492,0.6417
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Low Tom 6.wav,Other,D#m,0.1002,0.7714
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Mid Tom 7.wav,Other,Am,0.0794,0.9814
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Mid Tom 6.wav,Other,Bm,0.0775,0.0676
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Mid Tom 3.wav,Other,Fm,0.3098,0.272
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Low Tom 2.wav,Other,D#m,0.0902,0.54
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/High Tom 2.wav,Other,C#m,0.1589,0.0769
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Mid Tom 5.wav,Other,C#m,0.0726,0.1291
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/High Tom 3.wav,Other,D#m,0.0829,0.1189
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Low Tom 3.wav,Other,D#m,0.2363,0.0244
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Low Tom 5.wav,Other,Fm,0.1407,0.2388
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/High Tom 1.wav,Other,D#,0.1056,0.1235
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Mid Tom 2.wav,Other,Gm,0.2185,0.0725
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Mid Tom 1.wav,Other,C#,0.0733,0.1009
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Low Tom 1.wav,Other,F#m,0.1208,0.0618
/content/drive/MyDrive/techno dataset/Berlin underground/Toms/Low Tom 4.wav,Other,D,0.2219,0.101
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 9.wav,Kick,Am,0.3173,0.1883
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 1.wav,Kick,Am,0.4892,0.1741
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 10.wav,Kick,Gm,0.2514,0.2107
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 16.wav,Kick,Gm,0.4938,0.0232
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 6.wav,Kick,G#m,0.2726,0.1023
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 8.wav,Kick,Gm,0.4181,0.0341
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 12.wav,Kick,A,0.3354,0.4687
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 3.wav,Kick,G#m,0.2916,0.2863
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 15.wav,Kick,Gm,0.3809,0.0408
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 2.wav,Kick,Am,0.4306,0.0665
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 4.wav,Kick,C#m,0.5436,0.0204
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 17.wav,Kick,Gm,0.2324,0.3396
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 14.wav,Kick,Gm,0.3213,0.3486
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 13.wav,Kick,G#,0.0592,0.6621
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 7.wav,Kick,G#m,0.3895,0.0572
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 11.wav,Kick,G#m,0.3876,0.0995
/content/drive/MyDrive/techno dataset/Berlin underground/Kick/Kick 5.wav,Kick,G#m,0.5195,0.0483
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 5.wav,Perc,Gm,0.1553,0.299
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 7.wav,Perc,Cm,0.155,0.5057
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 3.wav,Perc,C#m,0.0995,0.4772
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Cowbell 1.wav,Other,A,0.0817,0.1768
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Cowbell 2.wav,Other,C#,0.0921,0.5503
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 9.wav,Perc,G#m,0.1666,0.7183
/content/drive/MyDrive/techno dataset/Berlin underground/Percussion/Percussion 4.wav,Perc,A,0.2057,0.3419
